ScanID,Lightsoak (hr),ShortID,Excitation Incidence,Proton Exposure Toggle,CouponID,Partition,CdTe p-Type Dopant,Exposure Toggle,Fluence (# cm^-2),ln(Fluence),Proton Acceleration Voltage (kV),N Rows,Median(Efficiency (%)),Median(Voc (V)),Median(Jsc (mA/cm^2)),Median(Fill Factor (%)),Median(Rs (Ohms *cm^2)),Median(Rshunt (Ohms * cm^2)),Std Dev(Efficiency (%)),Std Dev(Voc (V)),Std Dev(Jsc (mA/cm^2)),Std Dev(Fill Factor (%)),Std Dev(Rs (Ohms *cm^2)),Std Dev(Rshunt (Ohms * cm^2))
620310cb_filmside_post_0hr.0,0,620310cb,filmside,after,310,cb,As,expose,1.00E+13,13,1000,25,2.201,0.673,5.321,61.186,21.039,4919.389,0.06955753,0.006601767,0.105801497,1.30340928,1.53170198,1026.665117
620310cb_pre_0hr.0,0,620310cb,sunnyside,before,310,cb,As,expose,1.00E+13,13,1000,25,14.053,0.791,28.674,62.15,4.803,1052.732,0.43684672,0.004490731,0.302979829,1.28467447,0.408872038,197.4625877
620310cb_post_0hr.0,0,620310cb,sunnyside,after,310,cb,As,expose,1.00E+13,13,1000,25,8.657,0.731,24.745,47.677,7.154,133.503,0.31961031,0.004581848,0.575558662,1.060772473,0.2965052,12.9585988
620310cc_filmside_pre_0hr.0,0,620310cc,filmside,before,310,cc,As,expose,1.00E+11,11,150,30,4.73,0.794,7.8285,75.837,10.935,8921.364,0.205705797,0.004370223,0.405777852,1.114580754,1.208046475,2989.656562
620310cc_filmside_post_0hr.0,0,620310cc,filmside,after,310,cc,As,expose,1.00E+11,11,150,30,3.7,0.7435,6.7625,74.0225,11.915,14482.9915,0.076405309,0.003720709,0.162574648,0.952354849,1.563168698,44195.56886
620310cc_pre_0hr.0,0,620310cc,sunnyside,before,310,cc,As,expose,1.00E+11,11,150,30,14.406,0.793,28.726,63.359,4.6675,1268.5605,0.35295665,0.003508446,0.436224344,0.78534499,0.13289604,235.1220206
620310cc_post_0hr.0,0,620310cc,sunnyside,after,310,cc,As,expose,1.00E+11,11,150,30,15.352,0.809,28.631,66.138,4.027,1378.7645,0.338801471,0.003812261,0.394745984,0.813390498,0.451909549,215.205872
620310cd_filmside_pre_0hr.0,0,620310cd,filmside,before,310,cd,As,expose,1.00E+12,12,650,25,4.861,0.796,7.941,76.231,10.748,8481.475,0.147350184,0.004352394,0.235893705,0.970920265,0.514387911,2609.657417
620310cd_filmside_post_0hr.0,0,620310cd,filmside,after,310,cd,As,expose,1.00E+12,12,650,25,3.253,0.726,6.344,70.294,13.89,11445.956,0.106706342,0.004481443,0.172452409,1.012215354,1.552508763,3673.61791
620310cd_pre_0hr.0,0,620310cd,sunnyside,before,310,cd,As,expose,1.00E+12,12,650,25,14.105,0.788,28.759,62.314,4.702,1269.322,0.374411374,0.004031129,0.382762032,0.990076953,0.296669384,228.7482997
620310cd_post_0hr.0,0,620310cd,sunnyside,after,310,cd,As,expose,1.00E+12,12,650,25,12.494,0.779,27.917,56.939,5.468,673.395,0.570034575,0.005776966,0.462048518,1.843320896,0.508268964,107.0612752
620310da_filmside_pre_0hr.0,0,620310da,filmside,before,310,da,As,expose,1.00E+13,13,650,25,4.437,0.792,7.359,76.706,10.688,8659.115,0.206191052,0.005685655,0.244446777,1.385863149,1.742803381,2674.369108
620310da_filmside_post_0hr.0,0,620310da,filmside,after,310,da,As,expose,1.00E+13,13,650,25,2.374,0.662,6.085,59.524,17.297,3901.665,0.09539116,0.002339516,0.194374827,1.010201947,2.487814062,569.6984828
620310da_pre_0hr.0,0,620310da,sunnyside,before,310,da,As,expose,1.00E+13,13,650,25,13.645,0.786,28.828,60.734,4.867,1234.512,0.506010794,0.004481443,0.451346183,1.56376056,0.445384916,246.6117821
620310da_post_0hr.0,0,620310da,sunnyside,after,310,da,As,expose,1.00E+13,13,650,25,6.912,0.708,20.109,48.42,7.873,92.277,0.521207118,0.0044053,1.030935498,1.781945449,0.694882995,6.528606404
620310db_filmside_pre_0hr.0,0,620310db,filmside,before,310,db,As,expose,1.00E+11,11,1000,25,4.518,0.785,7.66,74.64,9.586,8135.131,0.143777896,0.006040695,0.219878944,1.29780025,2.74460197,2000.429744
620310db_filmside_post_0hr.0,0,620310db,filmside,after,310,db,As,expose,1.00E+11,11,1000,25,4.004,0.74,7.368,73.014,13.068,18403.758,0.104498006,0.005697075,0.162586008,1.077022792,1.435805345,13643.08667
620310db_pre_0hr.0,0,620310db,sunnyside,before,310,db,As,expose,1.00E+11,11,1000,25,13.718,0.784,28.832,60.91,4.756,993.583,0.331043678,0.004213866,0.348538841,0.716916704,0.282828759,187.6465513
620310db_post_0hr.0,0,620310db,sunnyside,after,310,db,As,expose,1.00E+11,11,1000,25,14.523,0.799,28.845,63.076,4.606,1126.479,0.374528259,0.004310066,0.325186987,0.845270963,0.296480888,200.8175593
620310dc_filmside_pre_0hr.0,0,620310dc,filmside,before,310,dc,As,expose,1.00E+12,12,150,30,4.625,0.791,7.732,75.462,10.7935,8302.6815,0.15328369,0.006952714,0.364357392,1.383419585,1.908669038,2280.94161
620310dc_filmside_post_0hr.0,0,620310dc,filmside,after,310,dc,As,expose,1.00E+12,12,150,29,3.827,0.723,7.335,72.038,11.687,50395.548,0.081434189,0.004485884,0.194602633,1.145431663,1.269240985,147965.1279
620310dc_pre_0hr.0,0,620310dc,sunnyside,before,310,dc,As,expose,1.00E+12,12,150,30,13.9665,0.7875,28.74,61.368,4.5235,1115.5835,0.337274056,0.003943422,0.347379643,0.755181754,0.679439421,238.1255014
620310dc_post_0hr.0,0,620310dc,sunnyside,after,310,dc,As,expose,1.00E+12,12,150,30,13.89,0.782,28.5815,62.106,4.5845,1099.7565,0.492168373,0.004004165,0.381096454,1.595803003,0.692584091,259.1686273
620310dd_filmside_pre_0hr.0,0,620310dd,filmside,before,310,dd,As,witness,-,-,-,29,4.571,0.792,7.725,75.537,11.245,8386.192,0.203823677,0.012170586,0.367277133,1.927273187,1.628864388,4195.815121
620310dd_filmside_post_0hr.0,0,620310dd,filmside,after,310,dd,As,witness,-,-,-,29,4.103,0.75,7.404,74.191,11.825,16262.616,0.129920476,0.010168288,0.252736491,1.497484831,0.84379992,11842.27848
620310dd_pre_0hr.0,0,620310dd,sunnyside,before,310,dd,As,witness,-,-,-,30,13.934,0.7855,28.731,61.4905,4.658,1259.25,0.634155911,0.007599834,0.62756722,1.36928894,0.369191935,436.4036291
620310dd_post_0hr.0,0,620310dd,sunnyside,after,310,dd,As,witness,-,-,-,29,15.106,0.808,28.764,64.909,4.017,1299.528,0.66455567,0.00762337,0.470973416,1.766540369,0.363187327,340.9795426
621102ba_filmside_pre_0hr.0,0,621102ba,filmside,before,1102,ba,As,expose,1.00E+13,13,150,25,4.665,0.796,7.82,75.353,11.214,11136.93,0.143618998,0.004142463,0.202354162,0.902759196,2.036397987,3755.335032
621102ba_filmside_post_0hr.0,0,621102ba,filmside,after,1102,ba,As,expose,1.00E+13,13,150,23,6.502,0.68,16.579,57.933,8.915,319.083,0.281340348,0.008361166,0.335348377,1.713225291,0.6586139,33.15115483
621102ba_pre_0hr.0,0,621102ba,sunnyside,before,1102,ba,As,expose,1.00E+13,13,150,25,15.482,0.815,28.718,65.893,4.607,1601.84,0.417113594,0.002063169,0.39775076,1.153164649,0.245118339,211.5981225
621102bb_filmside_pre_0hr.0,0,621102bb,filmside,before,1102,bb,As,expose,1.00E+12,12,650,24,4.502,0.7855,7.7915,73.7655,10.68,8863.083,0.165600685,0.003586408,0.217640971,1.266559313,2.125355653,3814.137239
621102bb_filmside_post_0hr.0,0,621102bb,filmside,after,1102,bb,As,expose,1.00E+12,12,650,25,3.197,0.726,6.175,70.925,13.681,7694.22,0.159819826,0.00554617,0.21281817,1.040756656,1.903728403,4681.756031
621102bb_pre_0hr.0,0,621102bb,sunnyside,before,1102,bb,As,expose,1.00E+12,12,650,25,15.006,0.806,28.574,65.035,4.595,1177.751,0.619547746,0.004279019,0.529312054,1.750329139,0.592758037,185.7364365
621102bb_post_0hr.0,0,621102bb,sunnyside,after,1102,bb,As,expose,1.00E+12,12,650,24,13.752,0.794,27.8205,61.874,4.8475,813.114,0.546760683,0.0025238,0.583084712,1.404528783,0.541321785,116.5387041
621102bc_filmside_pre_0hr.0,0,621102bc,filmside,before,1102,bc,As,witness,-,-,-,29,4.565,0.787,7.962,73.887,11.144,9961.883,0.282172252,0.035940838,0.344410233,3.260305525,2.539560365,4749.334049
621102bc_filmside_post_0hr.0,0,621102bc,filmside,after,1102,bc,As,witness,-,-,-,28,3.999,0.752,7.413,72.525,12.605,14858.2205,0.319674874,0.034087558,0.31958451,4.212558278,1.582014488,23031.78071
621102bc_pre_0hr.0,0,621102bc,sunnyside,before,1102,bc,As,witness,-,-,-,30,15.2625,0.8075,28.6735,65.941,4.3005,1334.2185,1.526672924,0.028321959,1.387450705,2.289643062,0.698814883,417.4624389
621102bc_post_0hr.0,0,621102bc,sunnyside,after,1102,bc,As,witness,-,-,-,25,15.917,0.819,28.413,68.189,4.319,1270.425,0.809723815,0.008524475,0.489327855,1.876545037,0.53731385,279.5729305
621102bd_filmside_pre_0hr.0,0,621102bd,filmside,before,1102,bd,As,expose,1.00E+11,11,1000,24,4.5685,0.7895,7.826,74.1265,11.327,10581.6265,0.234450046,0.006612324,0.303714107,1.088937116,2.160586444,4508.334463
621102bd_filmside_post_0hr.0,0,621102bd,filmside,after,1102,bd,As,expose,1.00E+11,11,1000,25,3.982,0.749,7.389,72.436,12.224,15095.339,0.196703652,0.008439589,0.220951729,1.534260199,1.272883875,56365.56202
621102bd_pre_0hr.0,0,621102bd,sunnyside,before,1102,bd,As,expose,1.00E+11,11,1000,25,15.37,0.811,28.924,65.406,4.438,1454.437,0.350651475,0.004858669,0.370523895,0.998213474,0.241868098,161.0107509
621102bd_post_0hr.0,0,621102bd,sunnyside,after,1102,bd,As,expose,1.00E+11,11,1000,24,15.522,0.813,28.7175,66.633,4.2715,1271.4525,0.533524513,0.006057096,0.397129483,1.522298196,0.204567479,147.806494
621102ca_filmside_pre_0hr.0,0,621102ca,filmside,before,1102,ca,As,expose,1.00E+13,13,1000,24,4.72,0.8005,7.78,75.515,11.908,8537.513,0.295195096,0.010629123,0.269290641,3.540100071,2.338251527,3708.255032
621102ca_filmside_post_0hr.0,0,621102ca,filmside,after,1102,ca,As,expose,1.00E+13,13,1000,24,2.348,0.679,5.2785,64.984,20.7245,4873.9585,0.075015168,0.004977486,0.146064849,1.576219845,1.151247524,1050.332493
621102ca_pre_0hr.0,0,621102ca,sunnyside,before,1102,ca,As,expose,1.00E+13,13,1000,25,15,0.818,28.629,63.96,4.898,1441.591,0.810413526,0.003782416,0.418937477,2.711055165,0.483345432,337.4682149
621102ca_post_0hr.0,0,621102ca,sunnyside,after,1102,ca,As,expose,1.00E+13,13,1000,24,10.3675,0.7475,26.3965,52.554,5.988,270.0575,1.254179898,0.00492976,1.321551443,4.385538574,3.11187198,80.61823403
621102cb_filmside_pre_0hr.0,0,621102cb,filmside,before,1102,cb,As,witness,-,-,-,25,4.637,0.79,8.009,73.762,10.515,8577.775,0.17584987,0.026261061,0.38728752,2.17051544,2.292399138,2924.651987
621102cb_filmside_post_0hr.0,0,621102cb,filmside,after,1102,cb,As,witness,-,-,-,25,4.209,0.758,7.521,73.46,12.813,19629.582,0.1587609,0.024590784,0.340887699,1.513705451,0.60274762,49999.81896
621102cb_pre_0hr.0,0,621102cb,sunnyside,before,1102,cb,As,witness,-,-,-,25,14.631,0.798,28.597,64.198,4.896,1062.417,1.059355268,0.017419147,0.872547519,1.778466045,0.582750653,280.028097
621102cb_post_0hr.0,0,621102cb,sunnyside,after,1102,cb,As,witness,-,-,-,25,15.749,0.812,28.577,67.99,4.025,1357.974,1.088189173,0.017692936,0.717844812,2.03975853,0.54202301,352.4758747
621102cc_filmside_pre_0hr.0,0,621102cc,filmside,before,1102,cc,As,expose,1.00E+12,12,150,27,4.731,0.793,8.078,74.252,10.35,8225.909,0.401128504,0.027339743,0.318129903,2.427501595,3.306720285,3281.593403
621102cc_filmside_post_0hr.0,0,621102cc,filmside,after,1102,cc,As,expose,1.00E+12,12,150,27,3.938,0.738,7.277,72.529,13.53,39217.534,0.361447639,0.028247431,0.347778116,2.212664458,1.958426949,369135.9447
621102cc_pre_0hr.0,0,621102cc,sunnyside,before,1102,cc,As,expose,1.00E+12,12,150,30,15.2075,0.807,28.897,65.24,4.3325,1418.3345,0.544024308,0.00744636,0.336507569,1.37740146,0.275116237,201.1014729
621102cc_post_0hr.0,0,621102cc,sunnyside,after,1102,cc,As,expose,1.00E+12,12,150,28,15.035,0.793,28.628,66.3285,4.2115,1337.168,0.87263633,0.009200874,0.521623453,2.632888687,0.607517683,226.5605333
621102cd_filmside_pre_0hr.0,0,621102cd,filmside,before,1102,cd,As,expose,1.00E+11,11,650,25,4.72,0.795,7.981,74.766,10.956,8743.72,0.177897424,0.00934202,0.298999482,1.438540213,2.508684404,4234.881203
621102cd_filmside_post_0hr.0,0,621102cd,filmside,after,1102,cd,As,expose,1.00E+11,11,650,25,4.042,0.758,7.371,72.6,13.45,18379.653,0.185500512,0.007544314,0.284356566,0.897858615,0.723346851,157945.6373
621102cd_pre_0hr.0,0,621102cd,sunnyside,before,1102,cd,As,expose,1.00E+11,11,650,25,14.695,0.813,28.505,63.63,5.008,1258.574,0.480786082,0.005678908,0.328682004,1.687857253,0.623179811,242.3716763
621102cd_post_0hr.0,0,621102cd,sunnyside,after,1102,cd,As,expose,1.00E+11,11,650,25,14.896,0.815,28.146,64.787,4.656,1134.376,2.106752517,0.008175166,1.113904549,8.063151412,5.365565212,269.2959018
621102da_filmside_pre_0hr.0,0,621102da,filmside,before,1102,da,As,witness,-,-,-,24,4.3945,0.794,7.3905,75.064,11.9505,8174.7485,0.243868505,0.011258491,0.403651943,4.690939271,1.479364817,3956.504988
621102da_filmside_post_0hr.0,0,621102da,filmside,after,1102,da,As,witness,-,-,-,23,4.006,0.758,7.252,73.322,13.486,18638.673,0.213980846,0.008455417,0.287081374,3.631116703,0.76913463,175119.7744
621102da_pre_0hr.0,0,621102da,sunnyside,before,1102,da,As,witness,-,-,-,25,15.145,0.806,28.92,64.987,4.29,1556.951,0.316855503,0.002853653,0.353403773,0.564879347,0.150371728,200.7330622
621102da_post_0hr.0,0,621102da,sunnyside,after,1102,da,As,witness,-,-,-,24,15.8695,0.818,28.701,67.809,4.1755,1376.207,0.675500587,0.005700242,0.397801704,2.24078172,0.361651764,343.9089273
621102db_filmside_pre_0hr.0,0,621102db,filmside,before,1102,db,As,expose,1.00E+13,13,650,24,4.5235,0.792,7.638,74.8,11.1235,8799.612,0.192266907,0.005277104,0.204607255,2.433404491,2.504356516,3742.446054
621102db_filmside_post_0hr.0,0,621102db,filmside,after,1102,db,As,expose,1.00E+13,13,650,25,2.727,0.663,6.631,62.219,14.968,3142.502,0.087794742,0.004630695,0.171409626,1.052551286,1.924191724,525.8445362
621102db_pre_0hr.0,0,621102db,sunnyside,before,1102,db,As,expose,1.00E+13,13,650,25,15.161,0.804,28.977,65.306,4.254,1395.33,0.468564297,0.004573474,0.411444334,1.121160252,0.3933542,189.3537153
621102db_post_0hr.0,0,621102db,sunnyside,after,1102,db,As,expose,1.00E+13,13,650,25,9.21,0.714,23.662,53.912,6.661,171.914,0.581048119,0.004545327,1.227960731,0.877759981,0.25515526,11.12191111
621102dc_filmside_pre_0hr.0,0,621102dc,filmside,before,1102,dc,As,expose,1.00E+12,12,1000,26,4.603,0.793,7.7785,75.0435,11.2905,7697.5785,0.167079184,0.004070154,0.213852429,0.897482712,2.077175083,3265.525119
621102dc_filmside_post_0hr.0,0,621102dc,filmside,after,1102,dc,As,expose,1.00E+12,12,1000,29,3.476,0.739,6.505,71.949,15.241,10062.847,0.118369704,0.004351264,0.206193958,0.871432704,1.61226728,121109.9556
621102dc_pre_0hr.0,0,621102dc,sunnyside,before,1102,dc,As,expose,1.00E+12,12,1000,30,15.3345,0.809,28.9155,65.5305,4.357,1464.5235,0.214018304,0.002511811,0.282674631,0.505362837,0.212200902,228.142982
621102dc_post_0hr.0,0,621102dc,sunnyside,after,1102,dc,As,expose,1.00E+12,12,1000,29,14.562,0.802,28.249,64.386,4.634,947.781,0.328549912,0.003872347,0.386525374,0.883626718,0.391917668,83.63889544
621102dd_filmside_pre_0hr.0,0,621102dd,filmside,before,1102,dd,As,expose,1.00E+11,11,150,23,4.573,0.787,7.677,74.784,10.838,8934.385,0.366723566,0.009178726,0.242020652,5.753858976,2.017632313,4074.617839
621102dd_filmside_post_0hr.0,0,621102dd,filmside,after,1102,dd,As,expose,1.00E+11,11,150,24,3.7585,0.7515,6.873,72.965,13.354,16612.0205,0.221267282,0.01075417,0.204237283,4.120775711,1.204626107,18113.85822
621102dd_pre_0hr.0,0,621102dd,sunnyside,before,1102,dd,As,expose,1.00E+11,11,150,25,15.016,0.801,28.826,65.003,4.778,1402.147,0.651385183,0.007078842,0.229472896,2.146187956,0.378276209,379.0540264
621102dd_post_0hr.0,0,621102dd,sunnyside,after,1102,dd,As,expose,1.00E+11,11,150,24,15.877,0.813,28.62,68.168,3.9845,1269.9255,0.613782463,0.006547347,0.250703517,2.034895104,0.24544045,239.7918731
